raw_weighted_beta_variance,de_weighted_beta_variance,variance_reduction_fraction,raw_n_bins,de_n_bins,stratifier,stratum,n_gauges,median_aridity,median_zero_flow_fraction
0.2336943123606329,0.24719901679315268,-0.05778790376241402,24,20,aridity,humid_or_low_aridity,187,0.949553,0.0
0.28675202396751504,0.2452243546302543,0.1448208412365565,24,20,aridity,intermediate,186,1.362092,0.030014554415650915
0.5439566228995856,0.40332094686741043,0.25854207874611446,24,22,aridity,dry_or_high_aridity,187,2.028891,0.251628610910048
0.3498547429681572,0.3926214643816001,-0.12224136523235703,24,21,zero_flow_fraction,low_zero_flow,187,1.015075,0.0
0.24896175839181534,0.22507766074360389,0.095934804616148,24,21,zero_flow_fraction,intermediate,186,1.342272,0.023622121621845814
0.4270602325425954,0.34281039848467465,0.1972785748659414,24,20,zero_flow_fraction,high_zero_flow,187,1.82827,0.32853789657000076
