epoch,mean_masked_mse,seed_index,seed
1,0.30965837435080457,0,20265608
2,0.2112668626010418,0,20265608
3,0.20567350702790113,0,20265608
4,0.20030511319637298,0,20265608
5,0.1994180705684882,0,20265608
1,0.31691201644448136,1,20265609
2,0.2181980941731196,1,20265609
3,0.20903876498341561,1,20265609
4,0.20703274017343154,1,20265609
5,0.19965364743883793,1,20265609
1,0.292984085644667,2,20265610
2,0.21980046578324758,2,20265610
3,0.2133041294148335,2,20265610
4,0.20397790870987453,2,20265610
5,0.19706921709271577,2,20265610
1,0.3215693239982311,3,20265611
2,0.2176454014503039,3,20265611
3,0.21037171265253654,3,20265611
4,0.20184999621258332,3,20265611
5,0.19976485176728323,3,20265611
1,0.2869387360719534,4,20265612
2,0.21073654970297448,4,20265612
3,0.2073899508668826,4,20265612
4,0.20183552406155147,4,20265612
5,0.20434085870018373,4,20265612
