archive,family,d_value,observed_reduction,null_reduction,observed_minus_null,observed_raw_axis_weighted_variance,observed_de_axis_weighted_variance,observed_reduction_vs_raw,observed_raw_bins_used,observed_de_bins_used,observed_n_units,observed_n_curve_points,observed_reduction_note,null_raw_axis_weighted_variance,null_de_axis_weighted_variance,null_reduction_vs_raw,null_raw_bins_used,null_de_bins_used,null_n_units,null_n_curve_points,null_reduction_note
CAMELS-US,observed,,0.23689239695462794,,,0.5153088770544795,0.39323612199704616,0.23689239695462794,24.0,24.0,673.0,84125.0,defined,,,,,,,,
CAMELS-US,analytic_ar1,,0.23689239695462794,0.3481250463360227,-0.11123264938139477,,,,,,,,,0.06783990869884203,0.0442231373396261,0.3481250463360227,24.0,24.0,673.0,84125.0,defined
CAMELS-US,analytic_two_timescale_ar,,0.23689239695462794,0.4324935751697394,-0.19560117821511147,,,,,,,,,0.07440558624222224,0.04222564823572317,0.4324935751697394,24.0,24.0,673.0,84125.0,defined
CAMELS-US,analytic_arfima_d0p15,0.15,0.23689239695462794,0.1602794625748013,0.07661293437982664,,,,,,,,,0.06783866701787947,0.05696552192646285,0.1602794625748013,24.0,24.0,673.0,84125.0,defined
CAMELS-US,analytic_arfima_d0p28,0.28,0.23689239695462794,-0.02258265678987237,0.2594750537445003,,,,,,,,,0.06783612548451151,0.06936804542428295,-0.02258265678987237,24.0,24.0,673.0,84125.0,defined
CAMELS-US,analytic_arfima_d0p40,0.4,0.23689239695462794,-0.20792053154438128,0.4448129284990092,,,,,,,,,0.0678339363153599,0.08193800441079724,-0.20792053154438128,24.0,24.0,673.0,84125.0,defined
CAMELS-GB,observed,,0.1469384257196944,,,0.2756899084623408,0.2351804673260778,0.1469384257196944,24.0,24.0,664.0,83000.0,defined,,,,,,,,
CAMELS-GB,analytic_ar1,,0.1469384257196944,-0.011947560917718869,0.15888598663741327,,,,,,,,,0.04403157351314962,0.044557643420000986,-0.011947560917718869,24.0,24.0,664.0,83000.0,defined
CAMELS-GB,analytic_two_timescale_ar,,0.1469384257196944,0.4044681227501047,-0.2575296970304103,,,,,,,,,0.08530754453630147,0.05080336214128267,0.4044681227501047,24.0,24.0,664.0,83000.0,defined
CAMELS-GB,analytic_arfima_d0p15,0.15,0.1469384257196944,-0.3154346042353293,0.4623730299550237,,,,,,,,,0.044029871604743795,0.057918416728918516,-0.3154346042353293,24.0,24.0,664.0,83000.0,defined
CAMELS-GB,analytic_arfima_d0p28,0.28,0.1469384257196944,-0.6115816243965104,0.7585200501162048,,,,,,,,,0.044027893021680906,0.0709545433546363,-0.6115816243965104,24.0,24.0,664.0,83000.0,defined
CAMELS-GB,analytic_arfima_d0p40,0.4,0.1469384257196944,-0.9122566216273797,1.0591950473470741,,,,,,,,,0.04402578263840717,0.08418859437262184,-0.9122566216273797,24.0,24.0,664.0,83000.0,defined
