series_id,scenario_group,target_tau_days,replicate,tau_acf_days,n_beta_rows,mean_beta_all,median_beta_all,n_beta_de_window,mean_beta_de_window,median_beta_de_window,de_window_min,de_window_max
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,125,1.1329881288071437,1.2248461387801066,63,1.2019523386247175,1.2162840240371542,0.5,2.0
single_timescale_ar1_2_01,single_timescale_ar1,2.0,1,2.264674327010727,125,1.1088582274856411,1.1801225271533256,72,1.1764570404651185,1.1776374178565339,0.5,2.0
single_timescale_ar1_2_02,single_timescale_ar1,2.0,2,2.0198416291599384,125,1.1467971963975891,1.2102615651439608,65,1.1942359438203982,1.1993182927940038,0.5,2.0
single_timescale_ar1_2_03,single_timescale_ar1,2.0,3,1.995498428308988,125,1.13835901451792,1.2245194652135754,64,1.23920454635274,1.249793047143541,0.5,2.0
single_timescale_ar1_2_04,single_timescale_ar1,2.0,4,2.353818039262609,125,1.1157625800721709,1.184815611404141,74,1.1819702472390483,1.184815611404141,0.5,2.0
single_timescale_ar1_2_05,single_timescale_ar1,2.0,5,2.244909932378236,125,1.1488103471012001,1.2345057596128668,71,1.2151839811759073,1.2345057596128668,0.5,2.0
single_timescale_ar1_2_06,single_timescale_ar1,2.0,6,2.2109611164601857,125,1.1496864054080578,1.2130965538798495,71,1.2147207515566114,1.210831377506922,0.5,2.0
single_timescale_ar1_2_07,single_timescale_ar1,2.0,7,2.014646567766446,125,1.1551346394739765,1.2432630945265295,65,1.247406833290666,1.2455781723159725,0.5,2.0
single_timescale_ar1_2_08,single_timescale_ar1,2.0,8,2.130286733014853,125,1.1538731797826565,1.258226583949087,68,1.2377943588220046,1.262496996617827,0.5,2.0
single_timescale_ar1_2_09,single_timescale_ar1,2.0,9,2.263307501890297,125,1.1760975180013942,1.2612300392665945,72,1.2683861860744037,1.2658230713937273,0.5,2.0
single_timescale_ar1_2_10,single_timescale_ar1,2.0,10,2.061182218067952,125,1.138488559361254,1.2288945017233774,66,1.231771744690589,1.2302612637380959,0.5,2.0
single_timescale_ar1_2_11,single_timescale_ar1,2.0,11,2.2138151457845283,125,1.1428085872451876,1.2190028874415149,71,1.2168245904582948,1.2165033909235266,0.5,2.0
single_timescale_ar1_2_12,single_timescale_ar1,2.0,12,2.0937145603287126,125,1.1318260136983862,1.2005668152799198,67,1.182712012021498,1.19154686164466,0.5,2.0
single_timescale_ar1_2_13,single_timescale_ar1,2.0,13,2.1667976021552025,125,1.1655964148555045,1.2294642149559318,69,1.2510945445000403,1.2590188550797579,0.5,2.0
single_timescale_ar1_4_00,single_timescale_ar1,4.0,0,4.62780948391311,125,1.3944640831019557,1.434980594986175,83,1.4586758222799048,1.4580990468002082,0.5,2.0
single_timescale_ar1_4_01,single_timescale_ar1,4.0,1,4.283153726082826,125,1.4122782524487327,1.4549645215026072,90,1.4652896309850607,1.468710586176131,0.5,2.0
single_timescale_ar1_4_02,single_timescale_ar1,4.0,2,4.4041098723981085,125,1.39425622020536,1.4330057503179623,87,1.4548645142182932,1.4776099465256196,0.5,2.0
single_timescale_ar1_4_03,single_timescale_ar1,4.0,3,4.487835201427491,125,1.3629394709672034,1.380323625202537,86,1.4057716681659578,1.4150266724259006,0.5,2.0
single_timescale_ar1_4_04,single_timescale_ar1,4.0,4,3.769717183552646,125,1.3744828913477265,1.3826675763969514,95,1.3842836216270724,1.3698896426632405,0.5,2.0
single_timescale_ar1_4_05,single_timescale_ar1,4.0,5,4.243599414504557,125,1.3561694860524631,1.38114887180165,90,1.3838851649398267,1.3899205977855404,0.5,2.0
single_timescale_ar1_4_06,single_timescale_ar1,4.0,6,3.328193685583241,125,1.3622792898125737,1.3796158234766818,90,1.3513585231061798,1.3263042732363386,0.5,2.0
single_timescale_ar1_4_07,single_timescale_ar1,4.0,7,3.840599046790598,125,1.3543679690527997,1.376854772967223,95,1.3492630197255706,1.3523935822995015,0.5,2.0
single_timescale_ar1_4_08,single_timescale_ar1,4.0,8,3.431918119706833,125,1.4052697127214016,1.434089560996168,91,1.4172693613546752,1.424339464186207,0.5,2.0
single_timescale_ar1_4_09,single_timescale_ar1,4.0,9,3.6550122357645725,125,1.3507362942807604,1.368425612762681,93,1.3400975623116937,1.3377736395021211,0.5,2.0
single_timescale_ar1_4_10,single_timescale_ar1,4.0,10,3.8786052313676245,125,1.3948444018617658,1.4149214729863109,95,1.4124118887468007,1.4149214729863109,0.5,2.0
single_timescale_ar1_4_11,single_timescale_ar1,4.0,11,4.105774213164947,125,1.345327944368682,1.345205974828338,93,1.3556833998972884,1.3271577497218698,0.5,2.0
single_timescale_ar1_4_12,single_timescale_ar1,4.0,12,4.245230631554443,125,1.403533298549123,1.4359928141225644,90,1.4360275638449789,1.4403356237398726,0.5,2.0
single_timescale_ar1_4_13,single_timescale_ar1,4.0,13,4.607358562106999,125,1.3594991849966045,1.3623994145603744,84,1.4009595480966002,1.3875848470641965,0.5,2.0
single_timescale_ar1_8_00,single_timescale_ar1,8.0,0,8.689637447940834,125,1.4903171615999617,1.4508470379784673,44,1.6758003417684249,1.6851622422881891,0.5,2.0
single_timescale_ar1_8_01,single_timescale_ar1,8.0,1,7.049890716719015,125,1.5089846780994634,1.4924093578893556,54,1.6382284312835536,1.5942887467495075,0.5,2.0
single_timescale_ar1_8_02,single_timescale_ar1,8.0,2,7.431881416704236,125,1.4627710930789601,1.431968613588792,51,1.5677343438158626,1.5260268888418793,0.5,2.0
single_timescale_ar1_8_03,single_timescale_ar1,8.0,3,10.233506199533293,125,1.463957411512902,1.4242962759063236,38,1.6583486356995143,1.687689677528931,0.5,2.0
single_timescale_ar1_8_04,single_timescale_ar1,8.0,4,7.543518620446969,125,1.49868953834992,1.4828212039199073,51,1.662526715306916,1.622978847476152,0.5,2.0
single_timescale_ar1_8_05,single_timescale_ar1,8.0,5,8.633177888806609,125,1.5029753821071843,1.4734159873525163,45,1.6624954168467734,1.6698784824670898,0.5,2.0
single_timescale_ar1_8_06,single_timescale_ar1,8.0,6,6.615291022440867,125,1.47832451733893,1.4413744723926167,58,1.5923961448814665,1.5325919891899884,0.5,2.0
single_timescale_ar1_8_07,single_timescale_ar1,8.0,7,7.860172937036811,125,1.4595443090828024,1.4108041142796484,49,1.599903678821692,1.5623712123098483,0.5,2.0
single_timescale_ar1_8_08,single_timescale_ar1,8.0,8,9.39490904242155,125,1.5140686704774955,1.4817262595012874,41,1.7037274082275207,1.7335952461401465,0.5,2.0
single_timescale_ar1_8_09,single_timescale_ar1,8.0,9,7.292148303090718,125,1.492631505988078,1.4814533472690783,53,1.620914080426821,1.5677673054829353,0.5,2.0
single_timescale_ar1_8_10,single_timescale_ar1,8.0,10,7.289414442168695,125,1.5466900339716056,1.5209306721432407,53,1.6408932121754365,1.5994879190965956,0.5,2.0
single_timescale_ar1_8_11,single_timescale_ar1,8.0,11,7.377750955723568,125,1.4943888864621206,1.4721148308322265,52,1.6170390714030718,1.5592057078709318,0.5,2.0
single_timescale_ar1_8_12,single_timescale_ar1,8.0,12,8.405135373303446,125,1.467740402966045,1.456133817868075,45,1.6561478112656778,1.6877623713513383,0.5,2.0
single_timescale_ar1_8_13,single_timescale_ar1,8.0,13,9.976967869478992,125,1.497058359315172,1.4548795606859155,39,1.6721270019495102,1.7223960645011702,0.5,2.0
single_timescale_ar1_16_00,single_timescale_ar1,16.0,0,15.390236328812216,125,1.5466757465723238,1.4800320650303385,25,1.9336327519805534,1.950921705189713,0.5,2.0
single_timescale_ar1_16_01,single_timescale_ar1,16.0,1,16.80717163505059,125,1.5301208020977521,1.481626237246125,23,1.8593013292201266,1.8702552543324267,0.5,2.0
single_timescale_ar1_16_02,single_timescale_ar1,16.0,2,23.640867439454237,125,1.5407846607584261,1.5012052923718457,16,1.930632914128903,1.9359985597034686,0.5,2.0
single_timescale_ar1_16_03,single_timescale_ar1,16.0,3,12.397936214721327,125,1.5628050112224632,1.4968414126844376,31,1.8456030669714687,1.8724609304878048,0.5,2.0
single_timescale_ar1_16_04,single_timescale_ar1,16.0,4,15.133042864589966,125,1.554825627546473,1.4842841189133724,25,1.9012583804841952,1.9041106636923493,0.5,2.0
