archive,audit_type,nperseg,tau_threshold_days,n_gauges,median_tau_days,q95_tau_days,max_tau_days,de1_resolvable_fraction,de05_resolvable_fraction,variance_reduction_fraction,variance_reduction_percent
CAMELS-US,frequency_support,256.0,,673,8.721251598469241,51.74553516312584,581.9591785889548,0.9970282317979198,0.9881129271916791,0.23689239695462783,23.68923969546278
CAMELS-US,frequency_support,512.0,,673,8.721251598469241,51.74553516312584,581.9591785889548,0.9985141158989599,0.9970282317979198,0.23689239695462783,23.68923969546278
CAMELS-US,frequency_support,1024.0,,673,8.721251598469241,51.74553516312584,581.9591785889548,1.0,0.9985141158989599,0.23689239695462783,23.68923969546278
CAMELS-US,tau_threshold_sensitivity,,64.0,648,8.298647161817886,38.41916121276105,63.23001599730148,,,0.23016627142387303,23.016627142387303
CAMELS-US,tau_threshold_sensitivity,,128.0,665,8.590933744560884,44.72488646528311,121.16153777017576,,,0.24506392984880188,24.506392984880186
CAMELS-US,tau_threshold_sensitivity,,256.0,671,8.716018099313866,49.45746953432998,232.92586511394424,,,0.24335112259305636,24.335112259305635
CAMELS-US,tau_threshold_sensitivity,,365.0,672,8.718634848891554,50.41550555482942,331.6175644591686,,,0.24029952634540674,24.029952634540674
CAMELS-GB v2,frequency_support,256.0,,664,10.02878261412064,102.52476332507163,254.88053148252595,1.0,0.9698795180722891,0.1469384257196944,14.69384257196944
CAMELS-GB v2,frequency_support,512.0,,664,10.02878261412064,102.52476332507163,254.88053148252595,1.0,1.0,0.1469384257196944,14.69384257196944
CAMELS-GB v2,frequency_support,1024.0,,664,10.02878261412064,102.52476332507163,254.88053148252595,1.0,1.0,0.1469384257196944,14.69384257196944
CAMELS-GB v2,tau_threshold_sensitivity,,64.0,606,8.691438215850432,48.98403922275525,63.86744818263556,,,0.2192844719842273,21.92844719842273
CAMELS-GB v2,tau_threshold_sensitivity,,128.0,644,9.394811869615069,70.23633082053534,125.53478926494272,,,0.17439669574825123,17.439669574825125
CAMELS-GB v2,tau_threshold_sensitivity,,256.0,664,10.02878261412064,102.52476332507163,254.88053148252595,,,0.1469384257196944,14.69384257196944
CAMELS-GB v2,tau_threshold_sensitivity,,365.0,664,10.02878261412064,102.52476332507163,254.88053148252595,,,0.1469384257196944,14.69384257196944
CAMELS-BR v1.2,frequency_support,256.0,,893,38.15328958232152,181.0169581925646,453.7173277041004,0.9764837625979843,0.9003359462486002,0.11844858833085914,11.844858833085913
CAMELS-BR v1.2,frequency_support,512.0,,893,38.15328958232152,181.0169581925646,453.7173277041004,1.0,0.9764837625979843,0.11844858833085914,11.844858833085913
CAMELS-BR v1.2,frequency_support,1024.0,,893,38.15328958232152,181.0169581925646,453.7173277041004,1.0,1.0,0.11844858833085914,11.844858833085913
CAMELS-BR v1.2,tau_threshold_sensitivity,,64.0,617,25.541932349392617,58.93977076670884,63.82879645990504,,,0.09862328511490692,9.862328511490691
CAMELS-BR v1.2,tau_threshold_sensitivity,,128.0,804,32.87346079787644,104.93889316615932,127.01606219356238,,,0.09080144317064953,9.080144317064953
CAMELS-BR v1.2,tau_threshold_sensitivity,,256.0,872,37.36549174391651,143.1567535658548,251.5827472839291,,,0.11522514863239475,11.522514863239476
CAMELS-BR v1.2,tau_threshold_sensitivity,,365.0,888,37.99176181454793,166.3069417338192,344.2899371192295,,,0.12066250303362169,12.06625030336217
CAMELS-AUS v2,frequency_support,256.0,,560,8.636153967037737,48.70762703313299,155.70220668997686,1.0,0.9946428571428572,0.07714055748755144,7.714055748755144
CAMELS-AUS v2,frequency_support,512.0,,560,8.636153967037737,48.70762703313299,155.70220668997686,1.0,1.0,0.07714055748755144,7.714055748755144
CAMELS-AUS v2,frequency_support,1024.0,,560,8.636153967037737,48.70762703313299,155.70220668997686,1.0,1.0,0.07714055748755144,7.714055748755144
CAMELS-AUS v2,tau_threshold_sensitivity,,64.0,542,8.316600770175658,36.495777192077426,62.643424860514166,,,0.13509956632172637,13.509956632172637
CAMELS-AUS v2,tau_threshold_sensitivity,,128.0,557,8.617654605086678,47.1552229645119,124.14066591493216,,,0.09133502178954589,9.13350217895459
CAMELS-AUS v2,tau_threshold_sensitivity,,256.0,560,8.636153967037737,48.70762703313299,155.70220668997686,,,0.07714055748755144,7.714055748755144
CAMELS-AUS v2,tau_threshold_sensitivity,,365.0,560,8.636153967037737,48.70762703313299,155.70220668997686,,,0.07714055748755144,7.714055748755144
CAMELS-DK lowland,frequency_support,256.0,,220,34.628920882975365,86.6161027953837,172.63631525514776,1.0,0.990909090909091,-0.047095648261525236,-4.709564826152524
CAMELS-DK lowland,frequency_support,512.0,,220,34.628920882975365,86.6161027953837,172.63631525514776,1.0,1.0,-0.047095648261525236,-4.709564826152524
CAMELS-DK lowland,frequency_support,1024.0,,220,34.628920882975365,86.6161027953837,172.63631525514776,1.0,1.0,-0.047095648261525236,-4.709564826152524
CAMELS-DK lowland,tau_threshold_sensitivity,,64.0,188,31.716964661242883,57.71766538607476,62.88018177957138,,,0.12173288552883543,12.173288552883543
CAMELS-DK lowland,tau_threshold_sensitivity,,128.0,218,34.25348944152859,83.42113467790169,114.98122034485576,,,-0.0251613786559588,-2.51613786559588
CAMELS-DK lowland,tau_threshold_sensitivity,,256.0,220,34.628920882975365,86.6161027953837,172.63631525514776,,,-0.047095648261525236,-4.709564826152524
CAMELS-DK lowland,tau_threshold_sensitivity,,365.0,220,34.628920882975365,86.6161027953837,172.63631525514776,,,-0.047095648261525236,-4.709564826152524
