gauge_id,n_years,missing_fraction,tau_acf_days,n_beta_rows,median_beta_all,gauge_name,gauge_lat,gauge_lon,area_ana,area_gsim,area_gsim_quality,elev_gauge,elev_mean,slope_mean,area,p_mean,pet_mean,et_mean,aridity,p_seasonality,asynchronicity,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing,q_mean,runoff_ratio,stream_elas,slope_fdc,baseflow_index,hfd_mean,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,geol_class_1st,geol_class_1st_perc,geol_class_2nd,geol_class_2nd_perc,carb_rocks_perc,geol_porosity,geol_permeability,sand_perc,silt_perc,clay_perc,org_carbon_content,bedrock_depth,water_table_depth,consumptive_use,consumptive_use_perc,reservoirs_vol,regulation_degree
10500000,44.58316221765914,0.039732252517808896,39.15883829330447,125,2.549374611249698,estirao_do_repouso,-4.3408,-70.9056,61400.0,61581.51,high,74.0,154.4063,7.9614,61581.51,6.51179,3.07323,4.11203,0.47195,0.23414,0.08977,0.0,3.25,1.0,djf,91.5,2.19952,jja,3.61943,0.55336,0.72354,2.21211,0.81708,196.16667,0.724,6.342,0.0,0.0,18.09774,14.875,0.0,siliciclastic_sedimentary_rocks,54.97,mixed_sedimentary_rocks,31.01,0.04,0.1942,-11.989,36.9136,29.6613,33.4346,40.3485,1876.1318,42.6999,0.0081,0.0006,0.0,0.0
11400000,44.58316221765914,0.0,53.40712458599803,125,1.9285108892820102,sao_paulo_de_olivenca,-3.4569,-68.9119,1010000.0,1018679.0,high,61.0,1146.4831,89.9208,1018679.0,5.38941,2.91665,3.45637,0.54118,0.25555,0.11224,0.0,0.25,1.0,djf,46.65,2.16977,jja,3.9342,0.72594,0.99788,1.22903,0.88859,207.64706,1.8862,5.8777,0.0,0.0,0.0,0.0,0.0,mixed_sedimentary_rocks,34.16,unconsolidated_sediments,25.08,7.52,0.1653,-13.1926,41.1641,27.7385,31.1031,48.6037,2020.1474,332.128,0.0529,0.0037,1718.0,0.1174
11500000,44.58316221765914,6.140997297961189e-05,58.34061916516582,125,1.7949996612835297,santo_antonio_do_ica,-3.1017,-67.9356,1130000.0,1144059.0,high,48.0,1046.1913,81.8967,1144059.0,5.70191,2.92541,3.5356,0.51306,0.20522,0.10914,0.0,0.1,1.0,jja,38.75,2.08333,jja,4.33327,0.759,1.228,1.1453,0.88735,211.25,1.98124,6.57695,0.0,0.0,0.0,0.0,0.0,mixed_sedimentary_rocks,35.08,unconsolidated_sediments,24.74,6.74,0.1681,-13.2674,41.7772,27.4438,30.7843,49.0389,2019.4316,256.6982,0.0528,0.0033,1718.0,0.0949
12370000,44.58316221765914,0.10022107590272661,16.69055151280242,125,3.127393445910062,thaumaturgo,-8.9458,-72.7847,16100.0,16184.38,high,220.0,309.2044,12.9614,16184.38,5.19877,3.02499,3.71765,0.58187,0.60494,0.1123,0.0,9.45,1.03279,djf,155.8,2.86924,jja,2.04953,0.39463,1.55018,4.53379,0.55187,172.94444,0.1262,7.1554,5.16453,2.72973,110.29599,17.68033,0.0,mixed_sedimentary_rocks,55.68,siliciclastic_sedimentary_rocks,41.4,0.0,0.1909,-13.1659,35.4839,30.2176,34.2928,7.1955,2306.7625,340.8016,0.0801,0.0107,0.0,0.0
12500000,44.58316221765914,0.06104151314173422,23.694501394248977,125,2.8983035746693435,cruzeiro_do_sul,-7.6333,-72.6603,37800.0,38019.14,high,178.0,272.0713,10.7975,38019.14,5.49805,3.0414,3.84662,0.55318,0.51149,0.11145,0.0,6.6,1.02326,djf,130.8,2.70527,jja,2.12972,0.38579,1.39199,3.27328,0.67447,183.58824,0.2492,6.0865,0.0,0.0,56.07381,19.15789,0.0,siliciclastic_sedimentary_rocks,59.75,mixed_sedimentary_rocks,26.77,0.04,0.194,-11.8758,35.1103,30.4631,34.4231,9.6634,2485.3821,215.7023,0.1527,0.0196,0.0,0.0
12520000,44.668035592060235,0.08311369904995403,35.204805907409636,125,2.3611781021390708,ipixuna,-7.0556,-71.6892,56100.0,55632.32,high,149.0,254.7959,10.0169,55632.32,5.65542,3.06087,3.89811,0.54123,0.4944,0.11054,0.0,6.1,1.04274,mam,120.8,2.65787,jja,2.09555,0.36831,1.45899,3.68383,0.75618,187.23529,0.2351,4.8333,0.0,0.0,66.85311,32.85,0.0,siliciclastic_sedimentary_rocks,60.87,unconsolidated_sediments,20.77,0.03,0.1962,-11.4941,35.5863,30.3037,34.1095,11.1858,2594.9957,176.7996,0.1558,0.0204,0.0,0.0
12700000,44.83504449007529,0.05703468490473864,66.15387770622206,125,2.206620042043592,santos_dumont,-6.4403,-68.2461,144000.0,143941.2,high,94.0,238.5415,10.5135,143941.2,5.81787,3.07879,3.91967,0.5292,0.52884,0.11837,0.0,3.25,1.01562,djf,100.15,2.84517,jja,2.46211,0.41758,1.13611,4.26203,0.79709,198.6875,0.3076,5.4143,0.0,0.0,64.08809,51.25,0.0,siliciclastic_sedimentary_rocks,71.17,unconsolidated_sediments,19.92,0.01,0.196,-10.9912,34.8731,31.2232,33.9037,11.2273,2546.5349,178.8942,0.1204,0.0134,0.0,0.0
13150000,44.0848733744011,0.01565022978511986,97.05941769380068,125,1.6548145485739438,itapeua,-4.0578,-63.0278,1780000.0,1781442.0,high,20.0,741.5321,57.4735,1781442.0,6.41323,2.97787,3.73052,0.46433,0.1475,0.11085,0.0,0.0,0.0,,20.35,1.96618,jja,4.24817,0.66244,0.47511,0.86673,0.9218,216.72222,2.4751,5.793,0.0,0.0,0.0,0.0,0.0,unconsolidated_sediments,34.17,siliciclastic_sedimentary_rocks,27.19,5.03,0.1788,-12.8201,41.5696,27.6593,30.7762,39.8575,2088.2394,132.9009,0.0557,0.0036,1718.0,0.0622
13470000,44.41615331964408,0.07316772483511065,13.643485329738049,125,2.6559204412792954,brasileia,-11.0178,-68.745,7020.0,7215.198,high,191.0,300.152,12.2796,7215.198,5.07795,3.07908,3.55272,0.60636,0.65144,0.12874,0.0,12.95,1.06148,djf,179.85,3.28493,jja,1.43737,0.28566,1.68121,3.71034,,170.0,0.1261,5.3105,17.358,2.63492,77.43133,16.82955,0.0,siliciclastic_sedimentary_rocks,64.6,mixed_sedimentary_rocks,35.38,0.0,0.211,-12.1897,38.8579,28.6152,32.5411,7.1284,2522.7344,499.7036,0.5511,0.105,0.0,0.0
13600002,44.39151266255989,0.008017762427531763,18.278676021217507,125,3.4641243953009715,rio_branco,-9.975,-67.8008,23500.0,23517.72,high,135.0,250.9573,12.595,23517.72,4.89322,3.0922,3.59856,0.63194,0.65575,0.14043,0.0,9.45,1.03846,djf,156.35,3.31601,jja,1.28963,0.26568,2.0106,4.7789,0.66296,180.05556,0.1082,4.2124,5.52856,8.83333,97.01057,24.8,0.0,siliciclastic_sedimentary_rocks,81.49,mixed_sedimentary_rocks,10.9,0.0,0.1989,-11.0364,39.0352,28.4619,32.5151,7.0365,2462.6129,518.4595,1.3879,0.2949,0.0,0.0
