raw_weighted_beta_variance,de_weighted_beta_variance,variance_reduction_fraction,raw_n_bins,de_n_bins,draw,n_gauges
0.35286777410502873,0.35325364385343083,-0.0010935250445603163,24,19,0,150
0.31679565451143793,0.29499647696500997,0.06881147905910086,24,19,1,150
0.24247641463030328,0.24910540706313364,-0.027338710212031905,24,20,2,150
0.27584529588474255,0.2520767880602597,0.08616607996974561,24,19,3,150
0.4354018534383608,0.40189685560820726,0.076951895279189,24,19,4,150
0.26712268079198054,0.2329019079281213,0.1281088253621877,24,19,5,150
0.35127471962070417,0.3681730322917862,-0.048105689727197955,24,19,6,150
0.27350077413642526,0.2687354835073047,0.017423316786458476,24,19,7,150
0.38809110243161704,0.35309843565232074,0.09016611450261766,24,20,8,150
0.36849786520101113,0.35203238664879816,0.04468269726130233,24,19,9,150
0.3526257889656636,0.2927521131791617,0.16979380879125658,24,21,10,150
0.3970087749716819,0.32785294765176676,0.1741921883838662,24,20,11,150
0.2940937322748408,0.26917119995009786,0.08474350042064813,24,20,12,150
0.39324700084065095,0.3600763957985068,0.08435056077029135,24,20,13,150
0.3369839131241734,0.3460511680663707,-0.026907085439583416,24,20,14,150
0.35522948162316764,0.3029572653525895,0.14715055752616063,24,19,15,150
0.4155529034208067,0.372791851751297,0.10290158320999154,24,20,16,150
0.3151005261912702,0.3118582593568255,0.01028962684904128,24,19,17,150
0.2693073034870756,0.23389845301475057,0.1314812112922305,24,20,18,150
0.4014813989526708,0.3682942277299973,0.08266179033262216,24,20,19,150
0.41278585426245584,0.3453733063156216,0.16331118726750818,24,19,20,150
0.33722916274900583,0.31722945520421514,0.05930598463596147,24,20,21,150
0.2596660224439467,0.2189043082748926,0.1569774658440467,24,19,22,150
0.2766536601234895,0.21180103502233022,0.23441809904922684,24,19,23,150
0.3766352198391802,0.3002312215580859,0.20285940946711808,24,20,24,150
0.33512872461592,0.3100346277686534,0.07487897934152352,24,21,25,150
0.2768502411381866,0.2583313837881803,0.06689124515070524,24,20,26,150
0.304844385379765,0.3070052175227689,-0.007088312091797246,24,20,27,150
0.3785439886682018,0.32120185530590106,0.15148076598453608,24,20,28,150
0.4121015882531604,0.37562600864825585,0.08851113571175327,24,20,29,150
0.44434116775227994,0.4017923902953364,0.09575700057723315,24,20,30,150
0.29602487158718893,0.2949324969273889,0.0036901448650010315,24,20,31,150
0.33310591367383885,0.29954802795448565,0.10074238955784931,24,19,32,150
0.40005929241394156,0.37609235963594784,0.05990845165319925,24,20,33,150
0.43191921945617623,0.3553421619093789,0.17729486000464276,24,19,34,150
0.3572117517642045,0.3209836483745428,0.1014191252408064,24,19,35,150
0.24832717513914865,0.25385790297390154,-0.02227193955576461,24,19,36,150
0.31585159511197364,0.2855034392475825,0.09608359221245132,24,20,37,150
0.2795035528073767,0.2505942696317764,0.1034308254232586,24,19,38,150
0.29865551505510324,0.27454075996143845,0.08074438233365792,24,20,39,150
0.3262766139505556,0.29687781081355974,0.09010392372605357,24,19,40,150
0.397224515707419,0.3866246078656248,0.026684928604964835,24,20,41,150
0.40501797870142975,0.3483960898139526,0.139800927032964,24,20,42,150
0.3622619994543802,0.32344897680663076,0.10714075091013564,24,20,43,150
0.3513285041827818,0.3097076536642389,0.11846704728771237,24,21,44,150
0.3082716816672594,0.2614350906797787,0.15193283643236127,24,19,45,150
0.40842866469661454,0.318935921575891,0.21911474599168929,24,21,46,150
0.40686992113934417,0.38191197777918806,0.061341333097976916,24,20,47,150
0.2781370610966222,0.23892946086415023,0.14096503385016926,24,19,48,150
0.33694796326841947,0.31546190357960424,0.06376669999841787,24,19,49,150
0.3258386938957377,0.2510299640891272,0.22958823248459223,24,19,50,150
0.4595323777231123,0.4166493285198744,0.09331888520176641,24,20,51,150
0.3360436589165438,0.3039239098144213,0.09558207170366344,24,19,52,150
0.26824284379438573,0.2523737512047125,0.05915942570992593,24,19,53,150
0.3706647157387249,0.31206272193917545,0.15809973626099597,24,21,54,150
0.31587011513654617,0.2891679038478438,0.08453541506185029,24,19,55,150
0.3388701279598374,0.28067781424217153,0.1717245307752909,24,21,56,150
0.4007738104661971,0.3172227446427439,0.20847436544384731,24,19,57,150
0.3989128873164748,0.3418541866464351,0.14303549091602194,24,21,58,150
0.3337005102551681,0.3088572932177299,0.07444764474121279,24,18,59,150
0.34063029254939553,0.3172133499259551,0.06874591936078224,24,20,60,150
0.36419572116869536,0.3583160257826114,0.01614432856930927,24,20,61,150
0.305437103804327,0.2913887940183721,0.04599411666421085,24,19,62,150
0.4016462603020955,0.3573438583447711,0.11030204021818261,24,20,63,150
0.4325493011396563,0.3400613922417451,0.2138205024357439,24,19,64,150
0.34110844589159367,0.348326664301771,-0.021161066215497133,24,20,65,150
0.4352752264859243,0.3649087091778002,0.1616598258444639,24,20,66,150
0.397392652566668,0.3650597404179733,0.08136263199599653,24,21,67,150
