gauge_id,n_models,best_nse_model,best_nse_eval_nse,tau_err_nse,best_beta_de_model,dist_beta_de_best,disagree_beta_de,tau_err_beta_de_best,delta_tau_err_beta_de,best_beta_raw_model,dist_beta_raw_best,disagree_beta_raw,tau_err_beta_raw_best,delta_tau_err_beta_raw,best_de_const_model,dist_de_const_best,disagree_de_const,tau_err_de_const_best,delta_tau_err_de_const,best_de_shuff_model,dist_de_shuff_best,disagree_de_shuff,tau_err_de_shuff_best,delta_tau_err_de_shuff,best_scalar_model,dist_scalar_best,disagree_scalar,tau_err_scalar_best,delta_tau_err_scalar
10002,4,rrmpg_hbvedu,0.5055803680104598,0.9563419977852088,rrmpg_gr4j,0.2564564903104306,True,1.3907687239768804,0.43442672619167166,seasonal_ar1_null,0.2594112376524106,True,0.0432913359646649,-0.9130506618205438,seasonal_ar1_null,0.25791056927351375,True,0.0432913359646649,-0.9130506618205438,seasonal_ar1_null,0.3334234861109797,True,0.0432913359646649,-0.9130506618205438,,,,,
10003,5,global_lstm,0.5149531844054525,0.4014222588422409,global_lstm,0.0963961084941682,False,0.4014222588422409,0.0,global_lstm,0.3482212341840426,False,0.4014222588422409,0.0,global_lstm,0.3482212341840426,False,0.4014222588422409,0.0,seasonal_ar1_null,0.41043520630792196,True,0.0484684540517246,-0.3529538047905163,,,,,
101002,5,global_lstm,0.5084293641205053,0.5163653622285235,seasonal_ar1_null,0.4417826623268629,True,0.6400879025435902,0.12372254031506669,seasonal_climatology,0.2055303731252497,True,1.2962833742301634,0.7799180120016399,seasonal_climatology,0.20553037312524974,True,1.2962833742301634,0.7799180120016399,global_lstm,0.2682876848971083,False,0.5163653622285235,0.0,rrmpg_gr4j,0.015436605737763287,True,0.5541644486175901,0.037799086389066594
101005,4,global_lstm,0.5364971350898791,0.7729814963402992,seasonal_ar1_null,0.5330694387333657,True,0.5576162163263764,-0.21536528001392286,seasonal_ar1_null,0.7636914931974578,True,0.5576162163263764,-0.21536528001392286,seasonal_ar1_null,0.7636914931974579,True,0.5576162163263764,-0.21536528001392286,seasonal_ar1_null,0.6411501028798896,True,0.5576162163263764,-0.21536528001392286,,,,,
102001,4,global_lstm,0.3535698455096402,1.2805578045267128,global_lstm,0.1963600060873753,False,1.2805578045267128,0.0,seasonal_ar1_null,0.6887281017805926,True,0.031311726088706,-1.2492460784380068,seasonal_ar1_null,0.6887281017805926,True,0.031311726088706,-1.2492460784380068,global_lstm,0.520902518694935,False,1.2805578045267128,0.0,,,,,
106001,4,global_lstm,0.1407525268476847,1.3077771994989882,seasonal_ar1_null,0.3135470060033241,True,0.080723814322567,-1.2270533851764212,rrmpg_gr4j,0.234938048583417,True,1.4115163079433448,0.10373910844435663,rrmpg_gr4j,0.23493804858341705,True,1.4115163079433448,0.10373910844435663,seasonal_ar1_null,0.44909053546964417,True,0.080723814322567,-1.2270533851764212,,,,,
11001,5,rrmpg_hbvedu,0.5281144927090275,0.9239315192533466,rrmpg_hbvedu,0.2802128783399096,False,0.9239315192533466,0.0,global_lstm,0.375792683446318,True,0.5151337126019248,-0.40879780665142185,global_lstm,0.3757926834463181,True,0.5151337126019248,-0.40879780665142185,seasonal_ar1_null,0.16122411186595742,True,0.01628625379559,-0.9076452654577566,global_lstm,0.21782178971519217,True,0.5151337126019248,-0.40879780665142185
11003,5,global_lstm,0.4375119073167076,1.0273254316666092,rrmpg_hbvedu,0.0696213405025497,True,1.249803442759699,0.22247801109308973,seasonal_ar1_null,0.449872496497686,True,0.0795406669333949,-0.9477847647332143,seasonal_ar1_null,0.449872496497686,True,0.0795406669333949,-0.9477847647332143,seasonal_ar1_null,0.427158352489758,True,0.0795406669333949,-0.9477847647332143,,,,,
11004,4,rrmpg_hbvedu,0.5164034696327162,0.8642418889013417,rrmpg_gr4j,0.0639758115339406,True,0.9792618154895516,0.11501992658820992,seasonal_ar1_null,0.4083659389121828,True,0.1638921934762121,-0.7003496954251296,seasonal_ar1_null,0.4192968904738241,True,0.1638921934762121,-0.7003496954251296,seasonal_ar1_null,0.18339954365050892,True,0.1638921934762121,-0.7003496954251296,rrmpg_hbvedu,0.05006250860423411,False,0.8642418889013417,0.0
12001,4,rrmpg_hbvedu,0.432693111093187,1.1213221680767689,global_lstm,0.1449653955583068,True,1.0892917130744193,-0.03203045500234958,seasonal_ar1_null,0.4059112244256564,True,0.0243103462267922,-1.0970118218499767,seasonal_ar1_null,0.4059112244256564,True,0.0243103462267922,-1.0970118218499767,seasonal_ar1_null,0.2685887359977661,True,0.0243103462267922,-1.0970118218499767,,,,,
12002,5,global_lstm,0.4827242463362907,1.053557672349694,rrmpg_gr4j,0.2188853808836228,True,1.2469109459720862,0.19335327362239219,seasonal_ar1_null,0.2580965303506735,True,0.0061037231023156,-1.0474539492473784,seasonal_ar1_null,0.25577976482042564,True,0.0061037231023156,-1.0474539492473784,seasonal_ar1_null,0.5157416309243085,True,0.0061037231023156,-1.0474539492473784,rrmpg_gr4j,0.24332095119830321,True,1.2469109459720862,0.19335327362239219
