archive,n_gauges,n_clusters,cluster_scheme,observed_fraction,cluster_bootstrap_median_fraction,cluster_ci_low_fraction,cluster_ci_high_fraction,cluster_probability_positive,observed_raw_weighted_beta_variance,observed_de_weighted_beta_variance,observed_percent,cluster_median_percent,cluster_ci_low_percent,cluster_ci_high_percent
CAMELS-US,671,18,huc2,0.23964349701916843,0.2407299217978484,0.15450061219224262,0.348626316356438,1.0,0.5166452047103252,0.3928345411353587,23.96434970191684,24.07299217978484,15.450061219224262,34.8626316356438
CAMELS-GB v2,664,12,geo_grid,0.1469384257196944,0.14812575609473838,0.05604910473520109,0.27336740608161963,1.0,0.2756899084623409,0.2351804673260779,14.69384257196944,14.812575609473837,5.604910473520109,27.336740608161964
CAMELS-BR v1.2,893,12,geo_grid,0.11844858833085914,0.11754028769135061,0.06237933560465099,0.20644417088518954,1.0,0.5471722862351689,0.48236050135684433,11.844858833085913,11.754028769135061,6.237933560465099,20.644417088518953
CAMELS-AUS v2,560,12,division,0.07714055748755144,0.07654935305379057,-0.006922926968630464,0.275769324998752,0.96,0.36484502568580535,0.3367006770078423,7.714055748755144,7.654935305379057,-0.6922926968630464,27.576932499875202
CAMELS-DK lowland,220,12,dk_geo_grid,-0.047095648261525236,-0.037423454559667224,-0.20244360303520284,0.11094214060490314,0.328,0.2811439269437219,0.29438458243792737,-4.709564826152524,-3.7423454559667224,-20.244360303520285,11.094214060490314
