model_label,gauges,median_eval_nse,median_eval_kge,median_beta_de_distance,median_beta_raw_distance,median_abs_log10_tau_error,median_obs_tau_days,median_model_tau_days,median_de_minus_raw_distance
RRMPG GR4J,666,0.29463425085174466,0.4418873168576613,0.5186608809329395,1.280196172912655,1.0664222661869776,9.5840805297649,122.38229019448849,-0.7615352919797155
RRMPG HBV-Edu,628,0.4339957784910732,0.554637005669411,0.5395939743338178,1.7295094748885156,0.7849947669683691,9.775087985702251,75.70368413921486,-1.1899155005546977
global LSTM,666,0.46195423125210255,0.48722881379882854,0.4344543242654302,0.8634141340694984,0.6478572372211353,9.5840805297649,43.028563625235265,-0.4289598098040682
lagged-Q lower bound,666,0.4982291896544652,0.7491347698368699,0.00177271980793105,0.0015260818997890999,0.00029707727815365,9.5840805297649,9.51966326876725,0.00024663790814195017
seasonal AR(1) null,666,-0.15862005915651675,0.09741506136829034,0.47616040188773495,0.4758866688980886,0.19802849448192622,9.5840805297649,5.772043589199745,0.00027373298964633586
seasonal climatology,375,0.0458396106318803,-0.03953521720204,0.5825674862948058,0.9606234855867256,1.214950013249352,12.029158132803982,0.628468225168375,-0.3780559992919198
