archive,n_gauges,median_reduction,median_reduction_ci_low,median_reduction_ci_high,mean_reduction,positive_gauges,positive_fraction,positive_fraction_ci_low,positive_fraction_ci_high,binomial_p_positive_less_than_half,wilcoxon_p_median_less_than_zero,q10,q25,q75,q90
CAMELS-GB,664,-0.9961314916707704,-1.1943142661469137,-0.8329197035166961,-3.265297680964165,143,0.21536144578313254,0.18373493975903615,0.2469879518072289,1.1595973189311389e-51,5.43390655400022e-75,-8.574702952228307,-3.1715158752058015,-0.0747614806583729,0.23691139387116572
CAMELS-US,671,-0.41694348260470937,-0.6089313155143823,-0.32453034850771023,-3.1034231616339674,252,0.37555886736214605,0.338301043219076,0.4113263785394933,5.935464107314495e-11,5.134240369717555e-34,-8.642987623743132,-2.541224643926761,0.3070131572535182,0.6964192098898728
