x,y,n,spearman_rho,p_value,model_label,rho_bootstrap_median,rho_ci_low,rho_ci_high
beta_de_median_abs_distance,abs_log10_tau_error,579,-0.3507700306577981,3.31644723598379e-18,RRMPG GR4J,-0.35141305266251344,-0.4258401667987946,-0.27323229516126113
beta_de_median_abs_distance,eval_nse,579,0.0772438027539469,0.06324972552513228,RRMPG GR4J,0.07897406297419926,-0.0020800416898771683,0.15394984798198114
beta_de_median_abs_distance,eval_kge,579,0.12414417511111059,0.002768505659570909,RRMPG GR4J,0.12295294611325387,0.03904205480933244,0.203354602566167
beta_raw_median_abs_distance,abs_log10_tau_error,661,0.35288193257076805,8.117234084634743e-21,RRMPG GR4J,0.3554575597930787,0.2878011646452693,0.417774520093621
eval_nse,abs_log10_tau_error,666,-0.4237945038860371,2.074010844347215e-30,RRMPG GR4J,-0.4233610978494634,-0.4920364532806133,-0.3495135098965183
eval_kge,abs_log10_tau_error,665,-0.40392637405953835,1.729796244433186e-27,RRMPG GR4J,-0.40456355921988574,-0.47008934350485515,-0.33446685390682684
beta_de_median_abs_distance,abs_log10_tau_error,602,-0.3549982988688929,2.5554840913026008e-19,RRMPG HBV-Edu,-0.35450001261305997,-0.4312802081825729,-0.27665876083614055
beta_de_median_abs_distance,eval_nse,602,0.057077507086487844,0.16191326681066542,RRMPG HBV-Edu,0.05679396297677651,-0.03213226375369097,0.1486238956189471
beta_de_median_abs_distance,eval_kge,602,0.09328840180059454,0.02207169987202192,RRMPG HBV-Edu,0.09360518280136829,0.005888606644890225,0.18236731488304997
beta_raw_median_abs_distance,abs_log10_tau_error,628,0.44568065208557406,5.639649077115031e-32,RRMPG HBV-Edu,0.44461430634499244,0.3808931715630293,0.5074740745841422
eval_nse,abs_log10_tau_error,628,-0.24977793661116807,2.183685026137394e-10,RRMPG HBV-Edu,-0.24966457579511436,-0.32932599576259197,-0.16693476541395594
eval_kge,abs_log10_tau_error,628,-0.17928065367476934,6.169819064495913e-06,RRMPG HBV-Edu,-0.1794088226929479,-0.2618989112308646,-0.09443045784018105
beta_de_median_abs_distance,abs_log10_tau_error,658,-0.2770061772759217,4.684598062791013e-13,global LSTM,-0.27726150751161094,-0.3423158354051838,-0.20703109628638863
beta_de_median_abs_distance,eval_nse,658,-0.3824414416958785,2.4074113477338936e-24,global LSTM,-0.3840181275354019,-0.4489302798358225,-0.3099551967119021
beta_de_median_abs_distance,eval_kge,658,-0.16571744651702935,1.933846227610969e-05,global LSTM,-0.1646690549894957,-0.24232638200023587,-0.08792204408448372
beta_raw_median_abs_distance,abs_log10_tau_error,666,0.10442055948250221,0.006994769091347746,global LSTM,0.1024926400317126,0.03447603778309197,0.176321939387351
eval_nse,abs_log10_tau_error,666,0.24216960814451544,2.4134541360907827e-10,global LSTM,0.2408953173611903,0.166559174053101,0.3112785184788231
eval_kge,abs_log10_tau_error,666,0.007289933574159883,0.8510489340964061,global LSTM,0.008249402886744198,-0.06543101131810802,0.08466942456453452
beta_de_median_abs_distance,abs_log10_tau_error,666,0.17669537513299843,4.484763111386824e-06,lagged-Q lower bound,0.1770690916750186,0.09694200088486203,0.2513573047669345
beta_de_median_abs_distance,eval_nse,666,0.3705409030904178,4.199623715766608e-23,lagged-Q lower bound,0.37183758337776457,0.2937439493850314,0.442890703994129
beta_de_median_abs_distance,eval_kge,666,0.3701614139079617,4.6840083836047205e-23,lagged-Q lower bound,0.3692058179820734,0.29926985247623755,0.43808788581641284
beta_raw_median_abs_distance,abs_log10_tau_error,666,0.006273453397259916,0.8716237529138385,lagged-Q lower bound,0.008195518688217204,-0.07320930660665774,0.0894862193145011
eval_nse,abs_log10_tau_error,666,-0.30815051730383547,4.0751350999128225e-16,lagged-Q lower bound,-0.3069466789097276,-0.376939610967415,-0.2306846108979397
eval_kge,abs_log10_tau_error,666,-0.30855389212526435,3.7149576523947253e-16,lagged-Q lower bound,-0.3091214632841909,-0.37986499827261255,-0.23509985677928927
beta_de_median_abs_distance,abs_log10_tau_error,666,0.13220678829453392,0.0006251226801093632,seasonal AR(1) null,0.13013044904871585,0.054854687249434625,0.20411871778738544
beta_de_median_abs_distance,eval_nse,666,0.0142425231196635,0.7137050962554305,seasonal AR(1) null,0.014650984553889008,-0.06491614785009915,0.09180580687833802
beta_de_median_abs_distance,eval_kge,666,-0.1904782012570224,7.351568140019914e-07,seasonal AR(1) null,-0.19016004236189185,-0.26796996917185456,-0.10471146683147542
beta_raw_median_abs_distance,abs_log10_tau_error,666,0.17809841269164242,3.7537807234635083e-06,seasonal AR(1) null,0.17830599431138783,0.09713735565604704,0.2526433970173978
eval_nse,abs_log10_tau_error,666,0.12532475887640412,0.0011912632855227499,seasonal AR(1) null,0.12629980493285592,0.04373121917209166,0.20397440813197812
eval_kge,abs_log10_tau_error,666,0.07810321622362972,0.04391511302039714,seasonal AR(1) null,0.07812631816236805,0.007410941010531344,0.15115355693792407
beta_de_median_abs_distance,abs_log10_tau_error,287,-0.1006620412108217,0.0887165795753555,seasonal climatology,-0.10416813142461179,-0.226679699213585,0.01735502055582381
beta_de_median_abs_distance,eval_nse,287,0.03702852026022758,0.5321157381238276,seasonal climatology,0.03684881279702522,-0.08757362580041468,0.1544669553048507
beta_de_median_abs_distance,eval_kge,287,0.07784288881849857,0.18851557425186655,seasonal climatology,0.0811482415302687,-0.04146376595448893,0.2040497664140914
beta_raw_median_abs_distance,abs_log10_tau_error,371,0.4480724355343954,1.0122668048794743e-19,seasonal climatology,0.44864993038258105,0.35738984045705585,0.5327626619948378
eval_nse,abs_log10_tau_error,375,0.643577426328365,3.10418290469144e-45,seasonal climatology,0.6443926180781344,0.5700433210120204,0.7091297572165135
eval_kge,abs_log10_tau_error,375,0.6203122084423712,2.9824778248352675e-41,seasonal climatology,0.6192280443752451,0.5481443151975525,0.6870257838068063
