scenario_group,n_series,raw_weighted_beta_variance,de_weighted_beta_variance,variance_reduction_vs_raw,variance_ratio_de_over_raw,raw_bins_used,de_bins_used
single_timescale_ar1,98,0.10084853610919056,0.06081418411212293,0.39697504338309586,0.6030249566169041,24,24
two_timescale_ar_mix,98,0.21741255904813142,0.08334338794008486,0.6166578954547237,0.38334210454527634,24,24
arfima_fractional,98,0.002338573802430683,0.0037126233605568495,-0.5875587747959876,1.5875587747959876,24,24
seasonal_two_timescale_control,98,0.2225667203842508,0.08998140898111863,0.5957104061839522,0.40428959381604773,24,24
