axis,weighted_variance,mean_variance,median_variance,n_bins,n_station_bin_values,ci95_low,ci95_high
raw_frequency,0.5153088770544795,0.5153088770544795,0.5476636316264821,24.0,16152.0,,
de_normalized,0.39323612199704616,0.4492716812974911,0.5394169392469792,24.0,10220.0,,
variance_reduction,0.23689239695462794,0.24487169569705375,0.24487169569705375,,,0.18251037062391806,0.2826142134267503
