gauge_id,n_models,best_nse_model,best_nse_eval_nse,tau_err_nse,best_beta_de_model,dist_beta_de_best,disagree_beta_de,tau_err_beta_de_best,delta_tau_err_beta_de,best_beta_raw_model,dist_beta_raw_best,disagree_beta_raw,tau_err_beta_raw_best,delta_tau_err_beta_raw,best_de_const_model,dist_de_const_best,disagree_de_const,tau_err_de_const_best,delta_tau_err_de_const,best_de_shuff_model,dist_de_shuff_best,disagree_de_shuff,tau_err_de_shuff_best,delta_tau_err_de_shuff,best_scalar_model,dist_scalar_best,disagree_scalar,tau_err_scalar_best,delta_tau_err_scalar
10002,3,rrmpg_hbvedu,0.5055803680104598,0.9563419977852088,rrmpg_gr4j,0.2564564903104306,True,1.3907687239768804,0.43442672619167166,global_lstm,0.6403123978016423,True,0.9147364783308348,-0.04160551945437396,global_lstm,0.6403123978016422,True,0.9147364783308348,-0.04160551945437396,global_lstm,1.3975791630465255,True,0.9147364783308348,-0.04160551945437396,,,,,
10003,3,global_lstm,0.5149531844054525,0.4014222588422409,global_lstm,0.0963961084941682,False,0.4014222588422409,0.0,global_lstm,0.3482212341840426,False,0.4014222588422409,0.0,global_lstm,0.3482212341840426,False,0.4014222588422409,0.0,rrmpg_gr4j,0.4116667186681222,True,1.1226288074410689,0.7212065485988279,,,,,
101002,3,global_lstm,0.5084293641205053,0.5163653622285235,global_lstm,0.7645130718169445,False,0.5163653622285235,0.0,rrmpg_gr4j,0.808609799240791,True,0.5541644486175901,0.037799086389066594,rrmpg_gr4j,0.808609799240791,True,0.5541644486175901,0.037799086389066594,rrmpg_gr4j,0.6020292613235707,True,0.5541644486175901,0.037799086389066594,rrmpg_gr4j,0.015436605737763287,True,0.5541644486175901,0.037799086389066594
101005,3,global_lstm,0.5364971350898791,0.7729814963402992,global_lstm,0.7815074436500427,False,0.7729814963402992,0.0,global_lstm,1.3973600505675203,False,0.7729814963402992,0.0,global_lstm,1.3973600505675203,False,0.7729814963402992,0.0,rrmpg_gr4j,0.8288038500610118,True,1.1090939036073717,0.3361124072670725,,,,,
106001,3,global_lstm,0.1407525268476847,1.3077771994989882,global_lstm,1.322529614900571,False,1.3077771994989882,0.0,rrmpg_gr4j,0.234938048583417,True,1.4115163079433448,0.10373910844435663,rrmpg_gr4j,0.23493804858341705,True,1.4115163079433448,0.10373910844435663,rrmpg_gr4j,0.6710789656824381,True,1.4115163079433448,0.10373910844435663,,,,,
11001,3,rrmpg_hbvedu,0.5281144927090275,0.9239315192533466,rrmpg_hbvedu,0.2802128783399096,False,0.9239315192533466,0.0,global_lstm,0.375792683446318,True,0.5151337126019248,-0.40879780665142185,global_lstm,0.3757926834463181,True,0.5151337126019248,-0.40879780665142185,global_lstm,0.24148441582645286,True,0.5151337126019248,-0.40879780665142185,global_lstm,0.21782178971519217,True,0.5151337126019248,-0.40879780665142185
11003,3,global_lstm,0.4375119073167076,1.0273254316666092,rrmpg_hbvedu,0.0696213405025497,True,1.249803442759699,0.22247801109308973,global_lstm,0.9401045720827672,False,1.0273254316666092,0.0,global_lstm,0.9401045720827672,False,1.0273254316666092,0.0,global_lstm,0.17577409395117605,False,1.0273254316666092,0.0,,,,,
11004,3,rrmpg_hbvedu,0.5164034696327162,0.8642418889013417,rrmpg_gr4j,0.0639758115339406,True,0.9792618154895516,0.11501992658820992,global_lstm,0.7454935710520841,True,0.342690075443413,-0.5215518134579287,global_lstm,0.7454935710520841,True,0.342690075443413,-0.5215518134579287,global_lstm,0.4879642808106459,True,0.342690075443413,-0.5215518134579287,rrmpg_hbvedu,0.05006250860423411,False,0.8642418889013417,0.0
12001,3,rrmpg_hbvedu,0.432693111093187,1.1213221680767689,global_lstm,0.1449653955583068,True,1.0892917130744193,-0.03203045500234958,global_lstm,0.98967939845899,True,1.0892917130744193,-0.03203045500234958,global_lstm,0.98967939845899,True,1.0892917130744193,-0.03203045500234958,global_lstm,0.2376840689034106,True,1.0892917130744193,-0.03203045500234958,,,,,
12002,3,global_lstm,0.4827242463362907,1.053557672349694,rrmpg_gr4j,0.2188853808836228,True,1.2469109459720862,0.19335327362239219,global_lstm,0.8459477748126155,False,1.053557672349694,0.0,global_lstm,0.8459477748126155,False,1.053557672349694,0.0,global_lstm,1.570514369267329,False,1.053557672349694,0.0,rrmpg_gr4j,0.24332095119830321,True,1.2469109459720862,0.19335327362239219
12008,3,global_lstm,0.5771033934317253,0.7541978568960517,rrmpg_hbvedu,0.2306442965619771,True,1.197249127197652,0.4430512703016003,global_lstm,1.069041400567445,False,0.7541978568960517,0.0,global_lstm,1.069041400567445,False,0.7541978568960517,0.0,global_lstm,0.857208603202183,False,0.7541978568960517,0.0,,,,,
12009,3,global_lstm,0.5580167128094708,0.4816628854829606,rrmpg_gr4j,0.4864792195068748,True,0.6535233427894297,0.1718604573064691,global_lstm,0.9952111655313703,False,0.4816628854829606,0.0,global_lstm,0.9952111655313702,False,0.4816628854829606,0.0,global_lstm,1.1813011292650306,False,0.4816628854829606,0.0,global_lstm,0.8006341804825212,False,0.4816628854829606,0.0
13001,3,global_lstm,0.5024931552671839,0.7374942995513525,rrmpg_gr4j,0.0540215639208787,True,1.5027645953431463,0.7652702957917938,global_lstm,0.9901098334654024,False,0.7374942995513525,0.0,global_lstm,0.9901098334654025,False,0.7374942995513525,0.0,global_lstm,1.1317996274240698,False,0.7374942995513525,0.0,,,,,
13004,3,global_lstm,0.5391003099287295,0.729506517541874,global_lstm,0.2041011435819477,False,0.729506517541874,0.0,global_lstm,1.1030843309910774,False,0.729506517541874,0.0,global_lstm,1.1030843309910776,False,0.729506517541874,0.0,global_lstm,0.7114646733112004,False,0.729506517541874,0.0,rrmpg_hbvedu,0.0004389397022821484,True,1.1127925864113946,0.38328606886952055
13007,3,global_lstm,0.5671092120992319,0.6882833550511672,rrmpg_gr4j,0.1209510825147349,True,0.6712011777291231,-0.01708217732204409,global_lstm,0.9411993561577248,False,0.6882833550511672,0.0,global_lstm,0.9411993561577248,False,0.6882833550511672,0.0,global_lstm,0.9903058837845717,False,0.6882833550511672,0.0,rrmpg_hbvedu,0.009903362419250605,True,1.2466145455639412,0.558331190512774
