archive,gauge_count,tau_median_days,observed_reduction_pct,analytic_ar1_reduction_pct,null_adjusted_reduction_pct,observed_raw_bins,observed_de_bins,ar1_raw_bins,ar1_de_bins,source_curve_file,floor_type
CAMELS-US,673,8.721251598469241,23.689239695462796,34.812504633602295,-11.1232649381395,24,24,24,24,camels_673_beta_curve_points.csv,"deterministic analytic AR(1) using gauge tau, observed frequency support and manuscript slope estimator"
CAMELS-GB v2,664,10.02878261412064,14.69384257196944,-1.194756091771887,15.888598663741327,24,24,24,24,camels_gb_v2_replication_beta_curve_points.csv,"deterministic analytic AR(1) using gauge tau, observed frequency support and manuscript slope estimator"
CAMELS-BR v1.2,893,38.15328958232152,11.844858833085937,-423.69658763032135,435.5414464634073,24,24,24,24,r23_camels_br_third_archive_curves.csv,"deterministic analytic AR(1) using gauge tau, observed frequency support and manuscript slope estimator"
CAMELS-AUS v2,560,8.636153967037737,7.714055748755144,26.997075912059454,-19.28302016330431,24,24,24,24,r25_camels_aus_fourth_archive_curves.csv,"deterministic analytic AR(1) using gauge tau, observed frequency support and manuscript slope estimator"
CAMELS-DK,220,34.628920882975365,-4.709564826152524,-2601.9017366527796,2597.192171826627,24,24,24,24,r27_camels_dk_groundwater_storage_validation_curves.csv,"deterministic analytic AR(1) using gauge tau, observed frequency support and manuscript slope estimator"
