archive,family,draw,raw_axis_weighted_variance,de_axis_weighted_variance,reduction_vs_raw,raw_bins_used,de_bins_used,n_units,n_curve_points
CAMELS-US,observed,-1,0.5153088770544795,0.39323612199704616,0.23689239695462794,24,24,673,84125
CAMELS-GB,observed,-1,0.2756899084623408,0.2351804673260778,0.1469384257196944,24,24,664,83000
CAMELS-US,matched_ar1,0,0.17720654721100296,0.05552094891894899,0.6866879368015719,24,24,673,84125
CAMELS-US,matched_ar1,1,0.17824883745288833,0.054759411948485666,0.6927923192600977,24,24,673,84125
CAMELS-US,matched_ar1,2,0.17821824898934802,0.05547553937482568,0.6887213307872786,24,24,673,84125
CAMELS-US,matched_ar1,3,0.17579934631644029,0.05427564142053344,0.691263690350493,24,24,673,84125
CAMELS-US,matched_ar1,4,0.17696707911105247,0.055219973031420386,0.6879647146305212,24,24,673,84125
CAMELS-US,matched_ar1,5,0.17726395673852574,0.05559300558721542,0.6863829138756153,24,24,673,84125
CAMELS-US,matched_ar1,6,0.17853444494836193,0.055404058021299,0.6896730037874558,24,24,673,84125
CAMELS-US,matched_ar1,7,0.17774361853048248,0.05459661644149576,0.69283501206468,24,24,673,84125
CAMELS-US,matched_ar1,8,0.17761740430600761,0.05560073594148841,0.6869634698314988,24,24,673,84125
CAMELS-US,matched_ar1,9,0.17879620410364264,0.05493589822194534,0.6927457241200674,24,24,673,84125
CAMELS-US,matched_ar1,10,0.17771781881691417,0.05527168217704714,0.6889918943131509,24,24,673,84125
CAMELS-US,matched_ar1,11,0.17795328817426334,0.054866465429237135,0.6916805191286584,24,24,673,84125
CAMELS-US,matched_ar1,12,0.17802153097480145,0.055383824601370306,0.6888925496927123,24,24,673,84125
CAMELS-US,matched_ar1,13,0.17834845074262012,0.05622289179211382,0.6847581711082495,24,24,673,84125
CAMELS-US,matched_ar1,14,0.17750172372268305,0.05502312324700991,0.69001358356962,24,24,673,84125
CAMELS-US,matched_ar1,15,0.1785241644216058,0.053758209784036864,0.6988743234944905,24,24,673,84125
CAMELS-US,matched_ar1,16,0.1781689960297146,0.05588168311128774,0.6863557388965253,24,24,673,84125
CAMELS-US,matched_ar1,17,0.1779492576125495,0.055939865704161734,0.685641477493769,24,24,673,84125
CAMELS-US,matched_ar1,18,0.17836807306894537,0.05444461667406698,0.6947625450154284,24,24,673,84125
CAMELS-US,matched_ar1,19,0.17914688109504642,0.05497816907006182,0.6931112127992163,24,24,673,84125
CAMELS-US,matched_ar1,20,0.17828635557030265,0.05428060447059107,0.695542576452594,24,24,673,84125
CAMELS-US,matched_ar1,21,0.17867262222359231,0.05402250903730932,0.6976452891047564,24,24,673,84125
CAMELS-US,matched_ar1,22,0.1779685650648721,0.054895681630358156,0.6915428204393967,24,24,673,84125
CAMELS-US,matched_ar1,23,0.178066166887505,0.05514875486956543,0.6902906608620032,24,24,673,84125
CAMELS-US,matched_ar1,24,0.17789088011811438,0.05425294060502699,0.6950212367885042,24,24,673,84125
CAMELS-US,matched_ar1,25,0.17621057339649868,0.05420031237924176,0.6924116905443387,24,24,673,84125
CAMELS-US,matched_ar1,26,0.17809388209585889,0.055138400062836324,0.6903970006495892,24,24,673,84125
CAMELS-US,matched_ar1,27,0.17769541065290997,0.05433393349790035,0.6942299562028078,24,24,673,84125
CAMELS-US,matched_ar1,28,0.1782451762014486,0.055509628481866684,0.6885771067423953,24,24,673,84125
CAMELS-US,matched_ar1,29,0.17734517182871046,0.05497050791619178,0.6900366254724698,24,24,673,84125
