model_set,variant,subset,n_gauges,median_delta_tau_err,mean_delta_tau_err,wilcoxon_p,bootstrap_ci_lo,bootstrap_ci_hi,frac_variant_lower_tau_err
full5,beta_de,all,586,0.0,0.024042863968176217,0.011561918654860715,0.0,0.0,0.28668941979522183
full5,beta_de,disagreement,413,0.08424965745193469,0.03411408785799338,0.011561918654860715,0.04549606627037461,0.14573873276288352,0.4067796610169492
full5,beta_raw,all,586,-0.18842636219417036,-0.26095080918074964,1.6719296665396125e-28,-0.2513705064862693,-0.13459805821233534,0.6279863481228669
full5,beta_raw,disagreement,532,-0.25801874086310234,-0.2874382973306754,1.6719296665396125e-28,-0.3487430594326044,-0.20002397780201225,0.6917293233082706
full5,scalar,all,359,0.0,-0.08927208263661197,0.0006846152994163179,0.0,0.0,0.3593314763231198
full5,scalar,disagreement,240,-0.030341128083969215,-0.13353615694393206,0.0006846152994163179,-0.11237058415030526,0.031118660069309797,0.5375
full5,de_const,all,586,-0.19082616346382422,-0.2614383252581147,1.7800017328864714e-28,-0.25585932693151553,-0.13600358297421683,0.6296928327645052
full5,de_const,disagreement,534,-0.25801874086310234,-0.28689673895366147,1.7800017328864714e-28,-0.3462285840745504,-0.20002397780201225,0.6910112359550562
full5,de_shuff,all,568,0.0,-0.1479840430622451,1.456059876608844e-10,-0.061144149440979914,0.0,0.4894366197183099
full5,de_shuff,disagreement,468,-0.1534346632604497,-0.17960456508409234,1.456059876608844e-10,-0.2149609473637613,-0.08076718389332921,0.594017094017094
ind3,beta_de,all,544,0.0,0.0765272155648044,4.156540407375853e-13,0.0,0.0,0.18198529411764705
ind3,beta_de,disagreement,308,0.12429800247303034,0.13516495216640775,4.156540407375853e-13,0.08521452684043491,0.1625957658359729,0.32142857142857145
ind3,beta_raw,all,544,0.0,0.027223461170722957,0.036177132367541505,0.0,0.0,0.27389705882352944
ind3,beta_raw,disagreement,318,0.01865880579640498,0.04657095244299777,0.036177132367541505,-0.011743974320147454,0.051004933130702396,0.46855345911949686
ind3,scalar,all,316,0.0,0.05790648242443687,5.2766364358861484e-08,0.0,0.0,0.18354430379746836
ind3,scalar,disagreement,172,0.09485671132668191,0.10638632817512819,5.2766364358861484e-08,0.06864852312309133,0.1448060110674924,0.3372093023255814
ind3,de_const,all,544,0.0,0.026888794946855647,0.04061931217463631,0.0,0.0,0.2757352941176471
ind3,de_const,disagreement,318,0.01865880579640498,0.04599844167009268,0.04061931217463631,-0.019059059795333372,0.06025253597671174,0.4716981132075472
ind3,de_shuff,all,526,0.0,0.062142305306208206,2.1536792389590213e-08,0.0,0.0,0.21673003802281368
ind3,de_shuff,disagreement,315,0.08701749542570159,0.10376778600338259,2.1536792389590213e-08,0.05907021857781969,0.1305271616782573,0.3619047619047619
