archive,support_contract,binning,n_points,n_gauges,raw_axis_weighted_variance,de_axis_weighted_variance,reduction_vs_raw,raw_bins_used,de_bins_used,raw_station_bin_values,de_station_bin_values
CAMELS-US,standard_axis_specific_support,log_spaced,84125,673,0.5153088770544795,0.39323612199704616,0.23689239695462794,24,24,16152,10220
CAMELS-US,standard_axis_specific_support,equal_count,84125,673,0.6266023703460881,0.4553575861537038,0.2732909932942027,24,24,16152,11036
CAMELS-US,same_point_central_support,log_spaced,76894,673,0.5565363702839348,0.4418750517523267,0.20602664022318962,24,24,15540,10037
CAMELS-US,same_point_central_support,equal_count,76894,673,0.639594436796716,0.4790765370815768,0.2509682550071288,24,24,15640,10653
CAMELS-GB,standard_axis_specific_support,log_spaced,83000,664,0.2756899084623408,0.2351804673260778,0.1469384257196944,24,24,15936,9401
CAMELS-GB,standard_axis_specific_support,equal_count,83000,664,0.35430468568997014,0.2561464909684453,0.27704458531326615,24,24,15936,10573
CAMELS-GB,same_point_central_support,log_spaced,75959,664,0.28659833874161345,0.24547412615393496,0.14349075702338443,24,24,15439,9134
CAMELS-GB,same_point_central_support,equal_count,75959,664,0.354591559596577,0.2528401948986845,0.2869537132064177,24,24,15483,10168
