gauge_id,raw_residual_sq,raw_median_abs_residual,raw_n_bins,de_residual_sq,de_median_abs_residual,de_n_bins,ar1_residual_de_reduction,tau_acf_days,archive
10002,0.2351884260808198,0.46616000324495377,24,0.278880659456367,0.3425578669223808,16,-0.1857754401593421,14.864900106972696,CAMELS-GB
10003,0.13387961256660388,0.27954112677055487,24,0.3121155144819434,0.30002240728324914,16,-1.3313147423896883,24.87182032742987,CAMELS-GB
1001,0.0538025493235079,0.19018266352787727,24,0.4101046214826562,0.29885013952449824,12,-6.622401292116274,4.823283421474352,CAMELS-GB
101002,0.25526110042578853,0.5134034150390736,24,0.8882245996429101,0.727437834347526,17,-2.4796708082873034,43.68587132016589,CAMELS-GB
101005,0.2705025441709135,0.44244282842018967,24,0.33310907232666026,0.3405272848301018,16,-0.23144524702211156,12.973003564866003,CAMELS-GB
102001,0.08480465038030484,0.3111032204756371,24,0.08207627389542782,0.18358090604301758,12,0.03217248668135142,5.183555383362364,CAMELS-GB
106001,0.25004280712460636,0.38888651419041353,24,0.6276754698693269,0.39448238485194564,14,-1.5102720493636554,7.356222155279184,CAMELS-GB
107001,0.06898937177258165,0.2378865473207907,24,0.6481914479007843,0.4416179824565228,11,-8.395526169414898,3.924994250470004,CAMELS-GB
11001,0.16822191962453403,0.2969567597218672,24,0.3665459019995743,0.21680284559528495,17,-1.1789425707285535,22.16182002230393,CAMELS-GB
11003,0.0325295314886079,0.1731898409125004,24,0.13056442741238686,0.17204890017815733,16,-3.0137198858247176,11.54626739509373,CAMELS-GB
11004,0.026074445987539777,0.09996133077430015,24,0.38841941507168265,0.49171583979465366,17,-13.896554859010122,27.329217896438355,CAMELS-GB
12001,0.007143031712407835,0.024017144104639853,24,0.20436694556909948,0.14760148210014978,13,-27.61067314234416,5.791393971571418,CAMELS-GB
12002,0.008916268230972082,0.056150912461200145,24,0.17440169418223211,0.16574888227242512,13,-18.55994253026395,6.268320491231301,CAMELS-GB
12005,0.024540328469258767,0.031291126939827836,24,0.26080258774943776,0.16150507562390914,13,-9.627510062717397,5.48773250741505,CAMELS-GB
12006,0.022757241153904584,0.03163318363502569,24,0.3135414481613514,0.1906307333664403,12,-12.777656353022183,4.62637332731588,CAMELS-GB
12007,0.02153255859695637,0.11363996337623081,24,0.2098687997865825,0.16700203893504062,11,-8.74657975927893,4.013664376695054,CAMELS-GB
12008,0.04701106406379651,0.22321851690036856,24,0.07141460415131327,0.06233076311282653,12,-0.5191020576432788,5.143107655732037,CAMELS-GB
