series_id,scenario_group,target_tau_days,replicate,tau_acf_days,frequency,frequency_cpd,de,beta
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.808449074074073e-07,0.01562499999999999,0.030500685526491274,0.2024584227796066
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.2605613425925903e-07,0.01953124999999998,0.03812585690811408,0.1842096707849088
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.71267361111111e-07,0.02343749999999999,0.04575102828973692,0.18493325590043028
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.1647858796296274e-07,0.02734374999999998,0.053376199671359724,0.24560754245090563
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,3.6168981481481464e-07,0.031249999999999986,0.061001371052982555,0.2942261756318617
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.0690104166666664e-07,0.03515625,0.0686265424346054,0.36635188344339126
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.5211226851851817e-07,0.03906249999999997,0.07625171381622817,0.42314365188857356
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,4.973234953703703e-07,0.04296874999999999,0.08387688519785105,0.5150917807543932
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,5.425347222222221e-07,0.04687499999999999,0.09150205657947386,0.6275674402002749
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,5.877459490740738e-07,0.05078124999999998,0.09912722796109666,0.6631350847848774
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,6.329571759259256e-07,0.05468749999999997,0.10675239934271948,0.6944861551992993
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,6.781684027777774e-07,0.058593749999999965,0.11437757072434228,0.7760784669380024
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,7.233796296296294e-07,0.06249999999999998,0.12200274210596514,0.8364426349970348
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,7.685908564814812e-07,0.06640624999999997,0.12962791348758795,0.8930150344246698
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,8.138020833333334e-07,0.0703125,0.13725308486921084,0.9495467311670588
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,8.59013310185186e-07,0.07421875000000007,0.14487825625083378,0.9565494993863762
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,9.042245370370364e-07,0.07812499999999994,0.15250342763245636,1.00934847211647
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,9.494357638888886e-07,0.08203124999999999,0.16012859901407925,1.0316428582721824
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,9.946469907407409e-07,0.08593750000000001,0.16775377039570213,1.052786452853411
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.0398582175925922e-06,0.08984374999999997,0.17537894177732488,1.0920430966690873
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.0850694444444444e-06,0.09375,0.18300411315894777,1.0926823815253106
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.1302806712962973e-06,0.09765625000000008,0.19062928454057074,1.10247334075364
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.1754918981481478e-06,0.10156249999999997,0.19825445592219335,1.1657155105415782
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.2207031250000004e-06,0.10546875000000004,0.20587962730381631,1.1770218669487391
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.2659143518518514e-06,0.10937499999999996,0.21350479868543898,1.183761863548703
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.311125578703704e-06,0.11328125000000003,0.22112997006706192,1.2268996594602577
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.356336805555555e-06,0.11718749999999994,0.2287551414486846,1.2350862258188362
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,1.4015480324074076e-06,0.12109375000000001,0.23638031283030755,1.2556702268177038
