gauge_id,n_models,rank_kendall_tau_nse_vs_beta,rank_kendall_p,best_nse_model,best_beta_model,best_nse_is_best_beta
84005,5,-0.7999999999999999,0.08333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
84008,4,0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_hbvedu,False
84009,4,0.6666666666666669,0.3333333333333333,global_lstm,rrmpg_hbvedu,False
84013,4,0.0,1.0,global_lstm,seasonal_ar1_null,False
84014,4,0.0,1.0,global_lstm,global_lstm,True
84017,4,-0.6666666666666669,0.3333333333333333,rrmpg_hbvedu,seasonal_ar1_null,False
84018,4,-0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
84019,4,0.6666666666666669,0.3333333333333333,rrmpg_gr4j,rrmpg_gr4j,True
84026,5,-0.39999999999999997,0.48333333333333334,global_lstm,seasonal_ar1_null,False
84030,4,-0.3333333333333334,0.75,global_lstm,seasonal_ar1_null,False
85001,4,0.3333333333333334,0.75,rrmpg_hbvedu,seasonal_ar1_null,False
85002,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
85004,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
89007,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
9002,4,0.3333333333333334,0.75,global_lstm,rrmpg_gr4j,False
9003,4,0.6666666666666669,0.3333333333333333,global_lstm,global_lstm,True
9004,5,0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,global_lstm,False
92001,4,-0.6666666666666669,0.3333333333333333,rrmpg_gr4j,seasonal_ar1_null,False
94001,4,-0.6666666666666669,0.3333333333333333,rrmpg_gr4j,seasonal_ar1_null,False
95001,5,-0.19999999999999998,0.8166666666666667,rrmpg_hbvedu,seasonal_ar1_null,False
96002,5,-0.9999999999999999,0.016666666666666666,rrmpg_hbvedu,seasonal_ar1_null,False
