archive,n_gauges,observed_reduction_fraction,bootstrap_median_reduction_fraction,bootstrap_ci_low_fraction,bootstrap_ci_high_fraction,probability_positive,bootstrap_sd_fraction,raw_weighted_beta_variance,de_weighted_beta_variance
CAMELS-US,673,0.22903322433925954,0.22993839815873557,0.1699643449834783,0.2899474852006091,1.0,0.02959727543752957,0.5018903537199315,0.3869407877426841
CAMELS-GB v2,664,0.15705628919214676,0.16159847411580164,0.11933864558224522,0.20208622691972702,1.0,0.021396448424165396,0.27416508864954536,0.23110573720021182
CAMELS-BR v1.2,893,0.12239015373781503,0.12285680490520134,0.09092722499187175,0.15903908620875395,1.0,0.0176851988317637,0.5399409839938363,0.4738575239534835
CAMELS-AUS v2,560,0.06432301603305379,0.06362040538759856,-0.007416945762147777,0.12691861436875776,0.962,0.03436753919622834,0.35470304370441175,0.3318874741372399
